funcform,location,mu,tau,coef,se,wt
linear,0,0,0.1,0.002476726,0.001045807,0.045061971
linear,25,4.238333333,0.1,0.002133631,0.000915509,0.041226489
linear,50,6.405416667,0.1,0.001868021,0.000881659,0.025724365
linear,75,8.453333333,0.1,0.001635233,0.000927846,0.012883017
log,0,0,0.1,0.01639276,0.006455101,0.069125729
log,25,4.238333333,0.1,0.011842081,0.004624258,0.07266808
log,50,6.405416667,0.1,0.009968192,0.004271678,0.041557291
log,75,8.453333333,0.1,0.008741756,0.004535821,0.017469227
linear,0,0,0.2,0.002398762,0.001034227,0.040162688
linear,25,4.238333333,0.2,0.002239513,0.001015858,0.03095376
linear,50,6.405416667,0.2,0.002182222,0.001048018,0.023805833
linear,75,8.453333333,0.2,0.002192609,0.001132939,0.017717761
log,0,0,0.2,0.01558084,0.006168432,0.066593382
log,25,4.238333333,0.2,0.013411684,0.005510339,0.052833902
log,50,6.405416667,0.2,0.012701691,0.005513455,0.038757306
log,75,8.453333333,0.2,0.012567242,0.00588323,0.026685352
log,30,4.724166667,0.1,0.011369769,0.004492166,0.067306646
log,20,3.7925,0.1,0.012299288,0.00477031,0.076047528
log,15,3.376666667,0.1,0.01274464,0.004926247,0.077840987
log,10,2.8975,0.1,0.013277025,0.00512649,0.078460365
log,5,2.135,0.1,0.014149801,0.0054784,0.07711832
pure.linear,NA,NA,NA,0.002548517,0.001084704,NA
pure.log,NA,NA,NA,0.01838343,0.007347448,NA
