CC,AP
CC1,2.9000001
CC2,3.0000001
CC3,3.1000001
CC4,3.2000001
CC6,3.4000001
CC7,3.5000001
CC8,3.6000001
CC10,3.8000001
CC11,3.9000001
CC12,4.0000001
CC13,4.1000001
CC15,4.3000001
CC16,4.4000001
CC17,4.5000001
CC19,4.7000001
CC20,4.8000001
CC21,4.9000001
CC22,5.0000001
CC24,5.2000001
CC25,5.3000001
CC26,5.4000001
CC28,5.6000001
CC29,5.7000001
CC30,5.8000001
CC31,5.9000001
CC33,6.1000001
CC34,6.2000001
CC35,6.3000001
CC37,6.5000001
CC38,6.6000001
CC39,6.7000001
CC40,6.8000001
CC42,7.0000001
CC43,7.1000001
CC44,7.2000001
CC46,7.4000001
CC47,7.5000001
CC48,7.6000001
CC50,7.8000001
CC51,7.9000001
CC52,8.0000001
CC53,8.1000001
CC55,8.3000001
CC56,8.4000001
CC57,8.5000001
CC59,8.7000001
CC60,8.8000001
CC61,8.9000001
CC62,9.0000001
CC64,9.2000001
CC65,9.3000001
CC66,9.4000001
CC68,9.6000001
CC69,9.7000001
CC70,9.8000001
CC71,9.9000001
CC73,10.1000001
CC74,10.2000001
CC75,10.3000001
CC77,10.5000001
CC78,10.6000001
CC79,10.7000001
CC80,10.8000001
CC82,11.0000001
CC83,11.1000001
CC84,11.2000001
CC86,11.4000001
CC87,11.5000001
CC88,11.6000001
CC90,11.8000001
CC91,11.9000001
CC92,12.0000001
CC93,12.1000001
CC95,12.3000001
CC96,12.4000001
CC97,12.5000001
CC99,12.7000001
CC100,12.8000001
CC101,12.9000001
CC102,13.0000001
CC104,13.2000001
CC105,13.3000001
CC106,13.4000001
CC108,13.6000001
CC109,13.7000001
CC110,13.8000001
CC111,13.9000001
CC113,14.1000001
CC114,14.2000001
CC115,14.3000001
CC117,14.5000001
CC118,14.6000001
CC119,14.7000001
CC120,14.8000001
CC122,15.0000001
CC123,15.1000001
CC124,15.2000001
CC126,15.4000001
CC127,15.5000001
CC128,15.6000001
CC129,15.7000001
