location,mu,tau,beta,se,weight,f
0,0.066002,0.1,0.011846856,0.000924545,0.001877613,z*logit
25,2.64001007,0.1,0.008887585,0.00076769,4.39E-10,z*logit
50,3.432003021,0.1,0.008154752,0.00076377,1.73E-14,z*logit
75,4.158007049,0.1,0.008393737,0.000830993,3.90E-17,z*logit
0,0.066002,0.1,0.041437557,0.003143036,0.379582823,log(z)*logit
25,2.64001007,0.1,0.026741322,0.002257205,1.23E-08,log(z)*logit
50,3.432003021,0.1,0.024231745,0.002232556,1.27E-13,log(z)*logit
75,4.158007049,0.1,0.025204151,0.002456128,2.13E-16,log(z)*logit
0,0.066002,0.2,0.011497718,0.000912417,0.00011682,z*logit
25,2.64001007,0.2,0.010722428,0.000906736,7.28E-09,z*logit
50,3.432003021,0.2,0.010992947,0.000959208,9.54E-11,z*logit
75,4.158007049,0.2,0.011767577,0.001057969,1.95E-12,z*logit
0,0.066002,0.2,0.039728476,0.003045999,0.049997465,log(z)*logit
25,2.64001007,0.2,0.034595157,0.002814096,2.52E-06,log(z)*logit
50,3.432003021,0.2,0.035118861,0.002947421,2.24E-08,log(z)*logit
75,4.158007049,0.2,0.0374853,0.003240702,3.35E-10,log(z)*logit
5,0.792005539,0.1,0.037800659,0.002877699,0.193414842,log(z)*logit
-5,-0.660001539,0.1,0.043677323,0.003313109,0.3750078,log(z)*logit
NA,NA,NA,0.012246028,0.000957364,NA,pure linear
NA,NA,NA,0.228692462,0.01772935,NA,pure log
